url,team_name
https://www.vlr.gg/team/6191/nom-esports,nom esports
https://www.vlr.gg/team/11152/outplayed,outplayed
https://www.vlr.gg/team/11176/aym-esports,aym esports
https://www.vlr.gg/team/5644/panthers-esports,panthers esports
https://www.vlr.gg/team/120/100-thieves,100 thieves
https://www.vlr.gg/team/188/cloud9,cloud9
https://www.vlr.gg/team/1034/nrg-esports,nrg esports
https://www.vlr.gg/team/11001/m80,m80
https://www.vlr.gg/team/106/tsm,tsm
https://www.vlr.gg/team/6675/the-guard,the guard
https://www.vlr.gg/team/9353/shopify-rebellion,shopify rebellion
https://www.vlr.gg/team/337/faze-clan,faze clan
https://www.vlr.gg/team/11197/disguised,disguised
https://www.vlr.gg/team/11602/mad-lions,mad lions
https://www.vlr.gg/team/5248/evil-geniuses,evil geniuses
https://www.vlr.gg/team/11836/turtle-troop,turtle troop
https://www.vlr.gg/team/11329/oresports,oresports
https://www.vlr.gg/team/10725/oxygen-esports,oxygen esports
https://www.vlr.gg/team/8264/nearest-airport,nearest airport
https://www.vlr.gg/team/11451/99-strength,99 strength
https://www.vlr.gg/team/6170/the-silk-road,the silk road
https://www.vlr.gg/team/12041/moist-moguls,moist moguls
https://www.vlr.gg/team/9085/the-ganaccis,the ganaccis
https://www.vlr.gg/team/11234/mochi-fanclub,mochi fanclub
https://www.vlr.gg/team/6985/qor,qor
https://www.vlr.gg/team/5038/yfp-gaming,yfp gaming
https://www.vlr.gg/team/9348/mad-science,mad science
https://www.vlr.gg/team/11421/rat-attack,rat attack
https://www.vlr.gg/team/11464/happy2bhere,happy2bhere
https://www.vlr.gg/team/9278/team-major-academy,team major academy
https://www.vlr.gg/team/11963/ambrosia,ambrosia
https://www.vlr.gg/team/9511/mct-esports,mct esports
https://www.vlr.gg/team/3748/team-reckaroo,team reckaroo
https://www.vlr.gg/team/9212/team-revenge,team revenge
https://www.vlr.gg/team/11843/neemas-money-crew,neema's money crew
https://www.vlr.gg/team/6861/crownless,crownless
https://www.vlr.gg/team/11960/nightmares-narcos,nightmare's narcos
https://www.vlr.gg/team/11478/calamity,calamity
https://www.vlr.gg/team/5601/nightblood-gaming,nightblood gaming
https://www.vlr.gg/team/11100/roblox-rejects,roblox rejects
https://www.vlr.gg/team/7711/berzerkers,berzerkers
https://www.vlr.gg/team/11101/entertainment-district,entertainment district
https://www.vlr.gg/team/8836/area-of-effect,area of effect
https://www.vlr.gg/team/11414/riribunobsumi,riribunobsumi
https://www.vlr.gg/team/11448/skoll,skoll
https://www.vlr.gg/team/10966/raw-dawgs,raw dawgs
https://www.vlr.gg/team/10972/royal-pekingese,royal pekingese
https://www.vlr.gg/team/9929/division-0,division 0
https://www.vlr.gg/team/11201/version1,version1
https://www.vlr.gg/team/9174/team-fish-taco,team fish taco
https://www.vlr.gg/team/11959/daredevils,daredevils
https://www.vlr.gg/team/11955/street-sweepers,street sweepers
https://www.vlr.gg/team/11957/iladies,iladies
https://www.vlr.gg/team/10364/dmg,dmg
https://www.vlr.gg/team/11382/girl-kissers,girl kissers
https://www.vlr.gg/team/8451/tempest-gaming,tempest gaming
https://www.vlr.gg/team/9503/team-mystic-black,team mystic black
